t,step,label,ts
512,19,19_cb_advances,1757768175480847123
513,19,19_cb_advances,1757768175491346782
514,19,19_cb_advances,1757768175502763006
515,19,19_cb_advances,1757768175513141401
516,19,19_cb_advances,1757768175524268193
517,19,19_cb_advances,1757768175534774069
518,19,19_cb_advances,1757768175546672658
519,19,19_cb_advances,1757768175557253568
520,19,19_cb_advances,1757768175566568094
521,19,19_cb_advances,1757768175577806491
522,19,19_cb_advances,1757768175587523126
523,19,19_cb_advances,1757768175598454699
524,19,19_cb_advances,1757768175608329235
525,19,19_cb_advances,1757768175616465963
526,19,19_cb_advances,1757768175624294562
527,19,19_cb_advances,1757768175633317635
528,19,19_cb_advances,1757768175641730405
529,19,19_cb_advances,1757768175651508608
530,19,19_cb_advances,1757768175660364703
531,19,19_cb_advances,1757768175670841952
532,19,19_cb_advances,1757768175680665633
533,19,19_cb_advances,1757768175689928298
534,19,19_cb_advances,1757768175700118723
535,19,19_cb_advances,1757768175714618809
536,19,19_cb_advances,1757768175728780214
537,19,19_cb_advances,1757768175742594345
538,19,19_cb_advances,1757768175754029536
539,19,19_cb_advances,1757768175764569884
540,19,19_cb_advances,1757768175777908390
541,19,19_cb_advances,1757768175790420822
542,19,19_cb_advances,1757768175802308151
543,19,19_cb_advances,1757768175812199933
544,19,19_cb_advances,1757768175823408405
545,19,19_cb_advances,1757768175835793446
546,19,19_cb_advances,1757768175847565652
547,19,19_cb_advances,1757768175859069016
548,19,19_cb_advances,1757768175870844721
549,19,19_cb_advances,1757768175884516007
550,19,19_cb_advances,1757768175905540824
551,19,19_cb_advances,1757768175916930581
552,19,19_cb_advances,1757768175929647787
553,19,19_cb_advances,1757768175943093152
554,19,19_cb_advances,1757768175954969939
555,19,19_cb_advances,1757768175965503917
556,19,19_cb_advances,1757768175976879691
557,19,19_cb_advances,1757768175990332221
558,19,19_cb_advances,1757768176002155352
559,19,19_cb_advances,1757768176012978776
560,19,19_cb_advances,1757768176023968926
561,19,19_cb_advances,1757768176037285263
562,19,19_cb_advances,1757768176054182852
563,19,19_cb_advances,1757768176067363662
564,19,19_cb_advances,1757768176076718713
565,19,19_cb_advances,1757768176087876354
566,19,19_cb_advances,1757768176099132474
567,19,19_cb_advances,1757768176111236594
568,19,19_cb_advances,1757768176122406750
569,19,19_cb_advances,1757768176132404280
